City,Location,Price,Bedrooms,Baths,Area
Lahore,"DHA Phase 6,  DHA Defence, Lahore",74500000,5,6,4500
Lahore,"DHA Phase 7,  DHA Defence, Lahore",51500000,5,6,4500
Lahore,"Dream Gardens,  Defence Road, Lahore",7500000,1,1,518
Lahore,"DHA Phase 6,  DHA Defence, Lahore",73000000,5,6,4500
Lahore,"Bahria Town - Sector B,  Bahria Town, Lahore",5700000,1,1,472
Lahore,"DHA Phase 5 - Block L,  DHA Phase 5, Lahore",53500000,5,6,2250
Lahore,"Bahria Town - Overseas A,  Bahria Town - Overseas Enclave, Lahore",97500000,5,6,4500
Lahore,"Bahria Town - Jasmine Block,  Bahria Town - Sector C, Lahore",47000000,5,7,4500
Lahore,"Bahria Town - Sector E,  Bahria Town, Lahore",5000000,1,1,450
Lahore,"Raiwind Road,  Lahore, Lahore",8299000,1,1,630
Lahore,"DHA Phase 6,  DHA Defence, Lahore",95000000,6,7,4500
Lahore,"DHA 11 Rahbar Phase 2 - Block K,  DHA 11 Rahbar Phase 2, Lahore",20000000,3,4,1125
Lahore,"Ali Park - Block E,  Ali Park, Lahore",8000000,3,3,562
Lahore,"Bahria Town - Jinnah Block,  Bahria Town - Sector E, Lahore",20700000,3,4,1125
Lahore,"Bahria Town - Overseas A,  Bahria Town - Overseas Enclave, Lahore",32800000,0,0,2250
Lahore,"DHA Phase 5,  DHA Defence, Lahore",85000000,5,6,4500
Lahore,"DHA Phase 6,  DHA Defence, Lahore",378000000,6,7,9000
Lahore,"Bahria Town - Block AA,  Bahria Town - Sector D, Lahore",18300000,3,4,1125
Lahore,"Bahria Town - Overseas A,  Bahria Town - Overseas Enclave, Lahore",32800000,5,6,2250
Lahore,"Bahria Town - Block AA,  Bahria Town - Sector D, Lahore",18500000,3,4,1125
Lahore,"Al-Kabir Town - Phase 2,  Al-Kabir Town, Lahore",17500000,4,5,1125
Lahore,"DHA Phase 7,  DHA Defence, Lahore",73000000,5,6,4500
Lahore,"PCSIR Housing Scheme Phase 2,  PCSIR Housing Scheme, Lahore",62500000,5,6,4500
